Designator,Mid X,Mid Y,Rotation,Layer
C1,173.98,-100.7075,90.0,top
C2,157.29,-121.29,270.0,top
C3,129.28,-65.39,180.0,top
C4,141.53,-105.89,0.0,top
C5,168.38,-77.17,180.0,top
D1,147.99,-120.14,0.0,top
R1,147.945,-123.135,0.0,top
